Sequence,tag,timestamp,x,y,z,Class
0.0,0.0,0.0024628750100356500,4.06293106079102,1.89243423938751,0.507425427436829,0
0.0,3.0,0.0024628750100377500,4.29195356369019,1.7811404466629,1.34449529647827,0
0.0,2.0,0.002462875010038800,4.35910129547119,1.82645571231842,0.968820989131928,0
0.0,0.0,0.0024628750100398500,4.08783531188965,1.87999868392944,0.466983407735825,0
0.0,1.0,0.0024628750100409000,4.32446241378784,2.07245969772339,0.488064646720886,0
0.0,3.0,0.002462875010041950,4.36407709121704,1.76769149303436,1.2999963760376,0
0.0,2.0,0.002462875010043000,4.37390804290772,1.88795959949493,0.769018948078156,0
0.0,0.0,0.002462875010044050,3.95849609375,1.70356285572052,0.511041402816773,0
0.0,3.0,0.002462875010046150,4.24491357803345,1.98168194293976,1.30875885486603,0
0.0,0.0,0.0024628750100482500,4.01699066162109,1.73406493663788,0.193166807293892,0
0.0,1.0,0.0024628750100493000,4.35824918746948,2.03383588790894,0.502825260162354,0
0.0,3.0,0.0024628750100503500,4.12630939483643,2.16554093360901,1.37884378433228,0
0.0,2.0,0.0024628750100514000,4.41847038269043,1.83986020088196,0.972940742969513,0
0.0,0.0,0.0024628750100524500,3.74837470054626,2.0734224319458,0.254481703042984,0
0.0,2.0,0.0024628750100556000,4.36312580108643,1.93686878681183,0.939827740192413,0
0.0,0.0,0.002462875010056650,3.8208940029144300,2.04937791824341,0.0553768649697304,0
0.0,1.0,0.0024628750100577000,4.35547733306885,1.99015069007874,0.501697838306427,0
0.0,3.0,0.0024628750100587500,4.2925009727478,2.07385325431824,1.36650812625885,0
0.0,2.0,0.002462875010059800,4.44374513626099,1.88284301757813,0.980791985988617,0
0.0,0.0,0.0024628750100608500,4.03950643539429,1.90846538543701,0.453817009925842,0
0.0,2.0,0.0024628750100640000,4.44277191162109,1.92148947715759,0.972291707992554,0
0.0,0.0,0.0024628750100650500,4.03004932403564,1.92463433742523,0.490845888853073,0
0.0,1.0,0.002462875010066110,4.43934965133667,1.77909481525421,0.581532657146454,0
0.0,3.0,0.0024628750100671600,4.4010648727417,1.95873010158539,1.39270281791687,0
